CGPA,Domain,Hours Spent,Degree,Revisit Frequency
4.475803531665044,Web Development,4,IT,Daily
9.484764903831422,Cloud Computing,1,CSE,Daily
6.645685731286176,Web Development,3,CSE,Weekly
4.703126742386579,Web Development,4,IOT,Daily
7.232212984867993,Cloud Computing,3,IOT,Weekly
5.8468899419165465,Web Development,1,Other,Daily
5.92195257569257,Web Development,5,CSE,Daily
6.876507527098099,Web Development,1,CSE,Weekly
9.814861140705132,Cloud Computing,3,IOT,Weekly
8.299436859383471,Cloud Computing,3,Other,Daily
5.14360214479548,Web Development,1,CSE,Daily
6.085241218030172,Web Development,4,Other,Daily
4.110648952750207,Web Development,2,IOT,Weekly
7.474577758601474,Data Science,3,CSE,Weekly
7.709635014245234,Data Science,5,CSE,Daily
9.321436072400555,Data Science,4,IT,Weekly
7.551915610010056,Cloud Computing,3,IOT,Weekly
4.862347704988783,Web Development,5,CSE,Daily
6.83745693478361,Web Development,1,IT,Weekly
6.458049080704189,Web Development,3,IT,Daily
9.512066285093328,Cloud Computing,5,IOT,Daily
8.044235723055893,Data Science,3,Other,Weekly
7.270034973011659,Cloud Computing,5,Other,Weekly
6.565439228087964,Web Development,2,CSE,Weekly
7.884822130036545,Cloud Computing,5,CSE,Daily
4.020687857830151,Web Development,2,CSE,Daily
6.8748211855692976,Web Development,4,CSE,Daily
9.823602961263408,Data Science,2,IT,Daily
4.021878450070376,Web Development,2,IOT,Weekly
6.151363329089189,Web Development,3,IT,Weekly
7.381918603276426,Data Science,3,IT,Weekly
5.3245947575201145,Web Development,2,IT,Daily
4.249254692589066,Web Development,1,IT,Weekly
6.970715458669054,Web Development,1,IT,Daily
7.445438836064371,Data Science,3,Other,Weekly
8.077915863028156,Cloud Computing,5,IT,Weekly
5.323008565154847,Web Development,2,IT,Weekly
9.536636420393979,Data Science,3,CSE,Daily
7.164904725120609,Data Science,3,IT,Weekly
7.136799582623915,Data Science,2,Other,Weekly
9.411077514655062,Cloud Computing,3,IOT,Weekly
7.324734946256423,Data Science,1,CSE,Daily
6.135510502354111,Web Development,1,CSE,Weekly
9.732240386639944,Data Science,2,IT,Weekly
9.913231661522815,Data Science,4,CSE,Daily
9.67901811560775,Cloud Computing,3,Other,Daily
9.462704716214658,Cloud Computing,3,IOT,Daily
8.033218977717446,Data Science,3,CSE,Weekly
4.658318288074255,Web Development,1,IT,Daily
8.631982202304366,Cloud Computing,2,IT,Daily
9.434468612181249,Cloud Computing,1,IT,Weekly
4.327108602465596,Web Development,2,IT,Daily
4.110517690817878,Web Development,2,IT,Weekly
9.77265640477691,Data Science,2,IT,Daily
6.118892000807689,Web Development,2,CSE,Daily
6.657524584200086,Web Development,1,CSE,Weekly
5.795193009408653,Web Development,2,IOT,Weekly
9.974425212927901,Data Science,2,CSE,Weekly
5.825189705530514,Web Development,2,Other,Weekly
7.7152730372856855,Data Science,4,Other,Weekly
9.226290651477706,Cloud Computing,4,CSE,Weekly
6.542402974227902,Web Development,3,IT,Weekly
7.15827667724224,Cloud Computing,1,IT,Weekly
7.096661324477029,Data Science,4,CSE,Weekly
9.15850923529305,Data Science,5,CSE,Daily
9.326073120678569,Cloud Computing,1,Other,Daily
4.802991348863013,Web Development,3,IT,Weekly
9.09069568560777,Cloud Computing,2,CSE,Weekly
5.565450289456363,Web Development,5,IT,Weekly
5.808495911051052,Web Development,4,IOT,Weekly
7.942643098348335,Data Science,3,IT,Daily
9.822714721696773,Data Science,4,IOT,Weekly
5.358289013628328,Web Development,1,IT,Daily
5.942824714414224,Web Development,3,CSE,Daily
4.450197094384363,Web Development,4,IT,Daily
9.758015224497765,Data Science,4,Other,Daily
6.520956436640413,Web Development,4,CSE,Weekly
6.974705485865983,Web Development,3,IOT,Weekly
4.401984088194018,Web Development,1,IT,Weekly
4.784818476818108,Web Development,3,CSE,Daily
4.199471793437226,Web Development,2,Other,Daily
8.38995851004614,Data Science,4,IOT,Daily
6.469507855700026,Web Development,4,IOT,Daily
6.750143691698286,Web Development,3,IOT,Weekly
4.072276433276118,Web Development,2,Other,Daily
7.798204529325891,Data Science,3,Other,Weekly
5.066083699820968,Web Development,4,IOT,Daily
6.693468246787805,Web Development,2,IT,Weekly
6.555143178070214,Web Development,4,IT,Daily
9.450087240328374,Cloud Computing,1,IOT,Daily
7.707722311851702,Data Science,1,IT,Daily
5.620021638234048,Web Development,1,Other,Daily
4.90703696013199,Web Development,3,CSE,Daily
4.095610874491948,Web Development,3,IOT,Daily
4.229380588478897,Web Development,4,IOT,Daily
8.519654788191835,Cloud Computing,4,IOT,Weekly
8.791599716720436,Data Science,3,Other,Weekly
4.294160904918974,Web Development,5,Other,Daily
9.46116846589278,Cloud Computing,1,IT,Daily
6.46353148798891,Web Development,2,IOT,Weekly
5.62687625634097,Web Development,3,IOT,Daily
9.420934561272166,Cloud Computing,4,IT,Weekly
7.8247330922986125,Data Science,1,IOT,Weekly
4.402544522886698,Web Development,1,Other,Weekly
8.258592289593654,Data Science,5,Other,Weekly
7.733846198640683,Data Science,5,Other,Daily
8.693728714857489,Data Science,5,IOT,Weekly
4.18193730493011,Web Development,3,CSE,Weekly
7.03168192024527,Cloud Computing,5,Other,Weekly
8.641051540103973,Data Science,1,IT,Daily
5.708045494218309,Web Development,1,CSE,Daily
5.520458067051531,Web Development,4,Other,Weekly
9.822047415197048,Cloud Computing,4,Other,Daily
7.2926262704797065,Cloud Computing,2,Other,Daily
7.647172192862564,Cloud Computing,3,IOT,Daily
6.861963160832395,Web Development,5,IT,Daily
5.445699159785399,Web Development,5,Other,Weekly
5.483333980934907,Web Development,3,Other,Daily
8.781682539497414,Cloud Computing,5,IT,Weekly
9.719273079392124,Data Science,4,IT,Weekly
4.41548781616346,Web Development,3,Other,Daily
7.76762398267227,Data Science,5,CSE,Weekly
9.108021517873873,Data Science,4,IT,Daily
7.197199418409257,Data Science,3,IOT,Daily
4.6887988757093,Web Development,4,CSE,Weekly
5.373687334863645,Web Development,4,IOT,Weekly
8.18132145848396,Cloud Computing,4,IT,Weekly
8.475427135565441,Cloud Computing,5,Other,Daily
