CGPA,Hours Spent,Domain
9.02,2,Cloud Computing
8.94,5,Cloud Computing
8.01,3,Cloud Computing
8.54,2,Cloud Computing
9.64,3,Cloud Computing
8.01,4,Cloud Computing
9.66,4,Cloud Computing
7.03,1,Data Science
6.08,3,Data Science
5.9,5,Cloud Computing
6.83,2,Data Science
7.15,3,Data Science
9.0,1,Cloud Computing
9.67,4,Cloud Computing
7.65,5,Cloud Computing
8.14,5,Cloud Computing
8.7,2,Cloud Computing
5.34,2,Web Development
8.52,1,Cloud Computing
9.45,2,Cloud Computing
8.28,3,Cloud Computing
6.31,5,Cloud Computing
8.4,4,Cloud Computing
8.68,4,Cloud Computing
6.07,3,Data Science
9.35,5,Cloud Computing
8.71,4,Cloud Computing
8.91,1,Cloud Computing
8.94,3,Cloud Computing
9.1,2,Cloud Computing
9.13,4,Cloud Computing
8.62,3,Cloud Computing
9.33,3,Cloud Computing
7.4,3,Data Science
8.82,3,Cloud Computing
7.33,2,Data Science
8.56,2,Cloud Computing
6.1,2,Data Science
6.59,3,Data Science
8.37,4,Cloud Computing
7.71,1,Data Science
6.07,3,Data Science
5.26,4,Cloud Computing
6.94,4,Data Science
9.73,4,Cloud Computing
6.12,3,Data Science
9.19,5,Cloud Computing
9.52,2,Cloud Computing
8.69,3,Cloud Computing
5.92,1,Web Development
7.43,1,Data Science
5.39,2,Web Development
5.41,3,Cloud Computing
8.53,1,Cloud Computing
5.99,4,Cloud Computing
8.95,2,Cloud Computing
9.92,5,Cloud Computing
6.37,2,Data Science
8.9,5,Cloud Computing
9.21,5,Cloud Computing
9.44,5,Cloud Computing
6.71,1,Data Science
9.36,2,Cloud Computing
5.32,2,Web Development
5.79,2,Web Development
8.64,4,Cloud Computing
5.67,3,Cloud Computing
6.11,2,Data Science
7.26,2,Data Science
8.48,2,Cloud Computing
7.98,1,Data Science
5.75,5,Cloud Computing
9.07,5,Cloud Computing
5.61,3,Cloud Computing
7.29,4,Data Science
8.41,2,Cloud Computing
6.46,1,Data Science
9.17,4,Cloud Computing
5.22,4,Cloud Computing
7.3,1,Data Science
6.84,2,Data Science
6.51,1,Data Science
7.66,2,Data Science
9.36,2,Cloud Computing
5.38,4,Cloud Computing
6.81,5,Cloud Computing
6.5,5,Cloud Computing
7.04,2,Data Science
7.84,2,Data Science
9.47,5,Cloud Computing
5.5,4,Cloud Computing
5.12,1,Web Development
8.09,1,Cloud Computing
7.48,1,Data Science
7.7,4,Data Science
7.09,5,Cloud Computing
7.43,3,Data Science
6.12,1,Data Science
7.64,2,Data Science
5.17,1,Web Development
7.19,4,Data Science
6.98,3,Data Science
9.53,1,Cloud Computing
5.29,3,Cloud Computing
5.55,2,Web Development
5.74,4,Cloud Computing
9.1,3,Cloud Computing
8.16,4,Cloud Computing
6.44,4,Data Science
8.13,4,Cloud Computing
6.46,5,Cloud Computing
7.44,1,Data Science
7.1,2,Data Science
5.79,4,Cloud Computing
8.99,4,Cloud Computing
7.01,2,Data Science
6.23,2,Data Science
5.29,4,Cloud Computing
5.03,4,Cloud Computing
5.21,4,Cloud Computing
7.88,5,Cloud Computing
6.69,1,Data Science
7.47,4,Data Science
8.24,3,Cloud Computing
8.22,3,Cloud Computing
8.95,2,Cloud Computing
9.36,3,Cloud Computing
8.98,2,Cloud Computing
9.08,1,Cloud Computing
8.13,4,Cloud Computing
6.1,4,Data Science
5.59,1,Web Development
9.02,4,Cloud Computing
9.01,5,Cloud Computing
8.06,4,Cloud Computing
5.85,1,Web Development
6.26,3,Data Science
9.5,4,Cloud Computing
7.84,2,Data Science
9.2,4,Cloud Computing
5.92,4,Cloud Computing
7.68,4,Data Science
9.17,3,Cloud Computing
9.73,3,Cloud Computing
8.58,2,Cloud Computing
6.37,5,Cloud Computing
8.39,5,Cloud Computing
5.85,1,Web Development
6.14,3,Data Science
6.31,1,Data Science
7.79,4,Data Science
9.1,1,Cloud Computing
8.37,5,Cloud Computing
6.36,3,Data Science
5.25,2,Web Development
6.67,1,Data Science
6.62,2,Data Science
9.87,3,Cloud Computing
5.39,3,Cloud Computing
5.48,2,Web Development
8.23,5,Cloud Computing
5.11,3,Cloud Computing
5.48,3,Cloud Computing
6.33,2,Data Science
8.56,2,Cloud Computing
5.77,3,Cloud Computing
6.15,1,Data Science
5.43,2,Web Development
7.77,2,Data Science
7.9,4,Data Science
8.1,1,Cloud Computing
5.83,1,Web Development
8.76,1,Cloud Computing
9.43,1,Cloud Computing
8.44,1,Cloud Computing
8.47,4,Cloud Computing
9.37,1,Cloud Computing
8.37,3,Cloud Computing
7.17,5,Cloud Computing
7.38,5,Cloud Computing
6.39,3,Data Science
8.53,4,Cloud Computing
5.42,2,Web Development
5.16,3,Cloud Computing
8.5,4,Cloud Computing
9.68,1,Cloud Computing
8.69,3,Cloud Computing
8.51,5,Cloud Computing
9.14,1,Cloud Computing
5.95,2,Web Development
9.14,2,Cloud Computing
6.37,4,Data Science
9.42,4,Cloud Computing
6.56,2,Data Science
9.91,1,Cloud Computing
7.46,5,Cloud Computing
6.71,5,Cloud Computing
7.48,2,Data Science
9.68,2,Cloud Computing
7.21,5,Cloud Computing
8.74,5,Cloud Computing
9.54,5,Cloud Computing
6.36,3,Data Science
9.06,2,Cloud Computing
9.97,2,Cloud Computing
6.77,1,Data Science
6.9,5,Cloud Computing
8.81,2,Cloud Computing
5.56,3,Cloud Computing
7.88,4,Data Science
5.41,5,Cloud Computing
9.03,3,Cloud Computing
5.79,4,Cloud Computing
7.93,4,Data Science
7.17,4,Data Science
5.68,1,Web Development
9.48,2,Cloud Computing
9.57,4,Cloud Computing
8.53,2,Cloud Computing
9.7,4,Cloud Computing
7.61,5,Cloud Computing
9.48,5,Cloud Computing
8.01,4,Cloud Computing
7.62,3,Data Science
8.93,3,Cloud Computing
6.87,2,Data Science
6.48,4,Data Science
7.38,3,Data Science
6.87,1,Data Science
8.79,4,Cloud Computing
8.7,3,Cloud Computing
9.61,3,Cloud Computing
8.61,4,Cloud Computing
6.08,4,Data Science
7.02,3,Data Science
8.32,1,Cloud Computing
7.08,2,Data Science
9.11,2,Cloud Computing
5.3,4,Cloud Computing
7.6,5,Cloud Computing
9.78,3,Cloud Computing
9.95,1,Cloud Computing
5.24,1,Web Development
6.82,2,Data Science
8.34,5,Cloud Computing
6.27,2,Data Science
6.12,2,Data Science
9.74,3,Cloud Computing
8.26,2,Cloud Computing
9.03,3,Cloud Computing
7.79,3,Data Science
6.1,5,Cloud Computing
5.26,3,Cloud Computing
5.72,4,Cloud Computing
6.8,2,Data Science
6.09,1,Data Science
7.83,4,Data Science
6.08,5,Cloud Computing
5.03,1,Web Development
9.92,5,Cloud Computing
9.25,4,Cloud Computing
7.83,4,Data Science
6.29,5,Cloud Computing
8.56,1,Cloud Computing
9.9,2,Cloud Computing
8.68,3,Cloud Computing
7.32,2,Data Science
9.98,5,Cloud Computing
6.11,5,Cloud Computing
9.96,1,Cloud Computing
8.13,4,Cloud Computing
6.03,5,Cloud Computing
8.58,2,Cloud Computing
8.11,2,Cloud Computing
5.96,2,Web Development
5.42,3,Cloud Computing
5.62,1,Web Development
9.69,3,Cloud Computing
7.31,1,Data Science
6.98,3,Data Science
8.07,2,Cloud Computing
5.24,3,Cloud Computing
7.81,1,Data Science
5.4,2,Web Development
5.35,2,Web Development
6.34,2,Data Science
7.0,5,Cloud Computing
6.68,3,Data Science
8.4,3,Cloud Computing
10.0,1,Cloud Computing
5.31,3,Cloud Computing
8.41,4,Cloud Computing
6.61,1,Data Science
7.7,4,Data Science
7.6,4,Data Science
7.49,1,Data Science
7.49,4,Data Science
7.94,4,Data Science
8.35,3,Cloud Computing
9.43,3,Cloud Computing
8.4,1,Cloud Computing
7.77,5,Cloud Computing
6.78,5,Cloud Computing
9.14,2,Cloud Computing
8.8,2,Cloud Computing
7.71,4,Data Science
8.71,3,Cloud Computing
6.23,1,Data Science
5.78,1,Web Development
9.79,3,Cloud Computing
5.81,5,Cloud Computing
9.3,4,Cloud Computing
8.86,4,Cloud Computing
6.34,4,Data Science
5.26,1,Web Development
7.13,3,Data Science
5.78,3,Cloud Computing
5.95,3,Cloud Computing
9.14,4,Cloud Computing
6.53,5,Cloud Computing
6.47,1,Data Science
5.89,5,Cloud Computing
5.25,2,Web Development
9.61,3,Cloud Computing
8.2,1,Cloud Computing
6.44,3,Data Science
6.52,1,Data Science
9.23,1,Cloud Computing
5.67,5,Cloud Computing
5.4,4,Cloud Computing
8.12,3,Cloud Computing
8.33,1,Cloud Computing
7.23,2,Data Science
6.54,5,Cloud Computing
7.67,5,Cloud Computing
8.05,3,Cloud Computing
6.07,3,Data Science
5.58,4,Cloud Computing
7.0,4,Data Science
6.14,4,Data Science
7.4,4,Data Science
9.87,5,Cloud Computing
7.17,4,Data Science
9.83,1,Cloud Computing
8.17,2,Cloud Computing
8.63,4,Cloud Computing
7.62,3,Data Science
7.34,2,Data Science
7.52,5,Cloud Computing
7.06,5,Cloud Computing
6.18,1,Data Science
6.24,3,Data Science
9.26,2,Cloud Computing
6.51,3,Data Science
5.62,3,Cloud Computing
9.71,4,Cloud Computing
8.17,3,Cloud Computing
8.16,1,Cloud Computing
5.85,4,Cloud Computing
9.2,3,Cloud Computing
9.21,5,Cloud Computing
5.27,1,Web Development
8.89,3,Cloud Computing
8.06,1,Cloud Computing
9.12,3,Cloud Computing
9.2,3,Cloud Computing
7.64,1,Data Science
6.81,2,Data Science
8.18,2,Cloud Computing
6.56,5,Cloud Computing
6.69,2,Data Science
8.97,3,Cloud Computing
5.05,3,Cloud Computing
5.07,3,Cloud Computing
8.04,4,Cloud Computing
6.51,4,Data Science
7.86,1,Data Science
5.48,5,Cloud Computing
8.42,2,Cloud Computing
7.18,1,Data Science
8.39,1,Cloud Computing
9.55,5,Cloud Computing
5.13,1,Web Development
5.28,5,Cloud Computing
5.64,4,Cloud Computing
9.72,1,Cloud Computing
8.7,3,Cloud Computing
7.07,5,Cloud Computing
7.38,1,Data Science
7.98,4,Data Science
9.19,5,Cloud Computing
6.05,4,Data Science
5.96,4,Cloud Computing
8.42,4,Cloud Computing
5.61,4,Cloud Computing
8.73,2,Cloud Computing
9.54,3,Cloud Computing
8.35,2,Cloud Computing
7.16,4,Data Science
5.78,3,Cloud Computing
7.34,3,Data Science
7.52,4,Data Science
8.92,3,Cloud Computing
9.78,1,Cloud Computing
9.52,2,Cloud Computing
7.38,5,Cloud Computing
5.08,5,Cloud Computing
5.66,2,Web Development
8.82,4,Cloud Computing
8.78,2,Cloud Computing
8.32,4,Cloud Computing
7.39,4,Data Science
5.32,3,Cloud Computing
8.59,3,Cloud Computing
7.22,1,Data Science
5.66,3,Cloud Computing
6.63,2,Data Science
5.73,2,Web Development
5.42,2,Web Development
5.32,5,Cloud Computing
8.68,3,Cloud Computing
8.14,4,Cloud Computing
8.77,1,Cloud Computing
6.78,3,Data Science
9.03,3,Cloud Computing
8.9,5,Cloud Computing
8.72,2,Cloud Computing
5.16,5,Cloud Computing
9.4,4,Cloud Computing
5.18,4,Cloud Computing
6.56,1,Data Science
7.85,5,Cloud Computing
5.92,4,Cloud Computing
5.76,1,Web Development
9.38,2,Cloud Computing
9.7,1,Cloud Computing
5.2,1,Web Development
9.31,2,Cloud Computing
6.45,3,Data Science
6.68,4,Data Science
9.76,2,Cloud Computing
5.39,5,Cloud Computing
8.68,5,Cloud Computing
5.01,4,Cloud Computing
7.3,1,Data Science
5.47,2,Web Development
6.46,3,Data Science
7.08,5,Cloud Computing
5.76,3,Cloud Computing
5.39,2,Web Development
8.36,4,Cloud Computing
7.49,4,Data Science
7.6,5,Cloud Computing
7.66,5,Cloud Computing
8.51,1,Cloud Computing
8.75,2,Cloud Computing
8.88,4,Cloud Computing
7.22,3,Data Science
6.73,2,Data Science
7.92,2,Data Science
9.97,4,Cloud Computing
7.39,4,Data Science
9.1,2,Cloud Computing
5.59,1,Web Development
9.08,3,Cloud Computing
5.05,1,Web Development
6.43,2,Data Science
5.37,4,Cloud Computing
6.53,3,Data Science
7.13,1,Data Science
5.08,5,Cloud Computing
8.47,5,Cloud Computing
6.45,5,Cloud Computing
6.68,5,Cloud Computing
7.13,2,Data Science
7.28,2,Data Science
7.04,4,Data Science
9.49,1,Cloud Computing
5.45,1,Web Development
8.81,2,Cloud Computing
9.14,1,Cloud Computing
6.45,4,Data Science
6.81,2,Data Science
5.19,1,Web Development
5.45,2,Web Development
5.07,4,Cloud Computing
9.92,1,Cloud Computing
9.54,5,Cloud Computing
5.21,4,Cloud Computing
6.93,4,Data Science
6.31,3,Data Science
5.67,5,Cloud Computing
6.73,4,Data Science
7.25,5,Cloud Computing
9.1,1,Cloud Computing
6.8,2,Data Science
9.71,5,Cloud Computing
7.38,4,Data Science
6.64,2,Data Science
9.56,2,Cloud Computing
6.66,4,Data Science
5.48,1,Web Development
6.67,3,Data Science
7.44,2,Data Science
7.25,1,Data Science
6.42,3,Data Science
5.77,5,Cloud Computing
9.89,2,Cloud Computing
7.92,4,Data Science
6.91,5,Cloud Computing
5.23,3,Cloud Computing
5.71,5,Cloud Computing
6.68,2,Data Science
8.33,4,Cloud Computing
8.94,5,Cloud Computing
5.91,1,Web Development
7.4,5,Cloud Computing
6.84,1,Data Science
9.79,4,Cloud Computing
6.97,3,Data Science
8.73,5,Cloud Computing
8.63,4,Cloud Computing
7.07,2,Data Science
9.09,2,Cloud Computing
8.98,2,Cloud Computing
8.49,4,Cloud Computing
5.99,3,Cloud Computing
7.49,4,Data Science
6.76,1,Data Science
6.04,3,Data Science
9.76,4,Cloud Computing
5.63,3,Cloud Computing
8.4,4,Cloud Computing
8.15,3,Cloud Computing
9.15,2,Cloud Computing
8.01,3,Cloud Computing
5.09,3,Cloud Computing
7.15,4,Data Science
9.0,1,Cloud Computing
5.14,5,Cloud Computing
7.47,4,Data Science
6.14,2,Data Science
9.43,4,Cloud Computing
7.12,5,Cloud Computing
7.82,4,Data Science
9.27,1,Cloud Computing
7.55,1,Data Science
9.52,4,Cloud Computing
9.55,1,Cloud Computing
6.91,5,Cloud Computing
9.44,2,Cloud Computing
7.29,3,Data Science
5.3,2,Web Development
8.8,4,Cloud Computing
7.6,1,Data Science
9.69,4,Cloud Computing
9.43,4,Cloud Computing
6.89,1,Data Science
6.19,5,Cloud Computing
8.21,4,Cloud Computing
6.23,1,Data Science
5.93,4,Cloud Computing
8.82,5,Cloud Computing
8.42,1,Cloud Computing
7.92,5,Cloud Computing
6.65,3,Data Science
6.41,1,Data Science
6.53,1,Data Science
7.18,3,Data Science
9.04,1,Cloud Computing
6.34,1,Data Science
9.15,2,Cloud Computing
6.84,4,Data Science
6.25,5,Cloud Computing
7.28,4,Data Science
8.68,5,Cloud Computing
8.34,5,Cloud Computing
7.02,3,Data Science
6.88,1,Data Science
9.04,1,Cloud Computing
6.39,5,Cloud Computing
5.1,1,Web Development
9.93,4,Cloud Computing
8.74,1,Cloud Computing
6.11,1,Data Science
9.85,2,Cloud Computing
9.52,2,Cloud Computing
7.11,4,Data Science
8.07,5,Cloud Computing
8.38,5,Cloud Computing
7.42,3,Data Science
9.95,5,Cloud Computing
8.92,2,Cloud Computing
6.63,2,Data Science
8.01,4,Cloud Computing
9.69,4,Cloud Computing
6.51,5,Cloud Computing
6.5,2,Data Science
6.38,4,Data Science
8.54,5,Cloud Computing
5.85,4,Cloud Computing
8.17,5,Cloud Computing
9.43,1,Cloud Computing
6.17,1,Data Science
5.26,4,Cloud Computing
5.74,5,Cloud Computing
7.48,1,Data Science
6.35,4,Data Science
6.56,2,Data Science
6.14,1,Data Science
6.1,2,Data Science
7.88,4,Data Science
8.59,2,Cloud Computing
8.45,1,Cloud Computing
8.82,4,Cloud Computing
8.06,3,Cloud Computing
5.97,2,Web Development
6.34,1,Data Science
5.55,2,Web Development
8.41,5,Cloud Computing
5.52,1,Web Development
7.8,1,Data Science
9.33,1,Cloud Computing
6.9,5,Cloud Computing
9.65,4,Cloud Computing
9.41,2,Cloud Computing
8.44,3,Cloud Computing
8.01,5,Cloud Computing
8.04,4,Cloud Computing
9.68,1,Cloud Computing
5.49,3,Cloud Computing
5.72,3,Cloud Computing
6.25,2,Data Science
9.56,1,Cloud Computing
9.62,1,Cloud Computing
5.43,4,Cloud Computing
6.66,2,Data Science
5.15,1,Web Development
6.93,1,Data Science
6.88,1,Data Science
9.3,5,Cloud Computing
7.15,4,Data Science
8.57,4,Cloud Computing
8.22,5,Cloud Computing
